fid,Merged,xcoord,ycoord
"404",26,-0.215,51.4325
"405",26,-0.214444444444444,51.4325
"406",24,-0.213888888888889,51.4325
"407",22,-0.213333333333333,51.4325
"408",23,-0.212777777777778,51.4325
"409",24,-0.212222222222222,51.4325
"410",25,-0.211666666666667,51.4325
"411",25,-0.211111111111111,51.4325
"412",23,-0.210555555555556,51.4325
"413",21,-0.21,51.4325
"414",22,-0.209444444444444,51.4325
"415",22,-0.208888888888889,51.4325
"416",23,-0.208333333333333,51.4325
"417",25,-0.207777777777778,51.4325
"418",26,-0.207222222222222,51.4325
"419",31,-0.206666666666667,51.4325
"420",35,-0.206111111111111,51.4325
"421",40,-0.205555555555556,51.4325
"422",44,-0.205,51.4325
"423",47,-0.204444444444445,51.4325
"424",49,-0.203888888888889,51.4325
"425",51,-0.203333333333333,51.4325
"426",48,-0.202777777777778,51.4325
"427",45,-0.202222222222222,51.4325
"428",39,-0.201666666666667,51.4325
"429",37,-0.201111111111111,51.4325
"430",32,-0.200555555555556,51.4325
"431",31,-0.2,51.4325
"432",29,-0.199444444444445,51.4325
"433",26,-0.198888888888889,51.4325
"434",23,-0.198333333333333,51.4325
"435",20,-0.197777777777778,51.4325
"436",18,-0.197222222222222,51.4325
"437",17,-0.196666666666667,51.4325
"438",16,-0.196111111111111,51.4325
"439",15,-0.195555555555556,51.4325
"440",16,-0.195,51.4325
"441",17,-0.194444444444445,51.4325
"442",16,-0.193888888888889,51.4325
"443",14,-0.193333333333333,51.4325
"444",14,-0.192777777777778,51.4325
"445",15,-0.192222222222222,51.4325
"446",14,-0.191666666666667,51.4325
"447",13,-0.191111111111111,51.4325
"448",11,-0.190555555555556,51.4325
"449",10,-0.19,51.4325
"450",9,-0.189444444444445,51.4325
"451",10,-0.188888888888889,51.4325
"452",10,-0.188333333333333,51.4325
"453",10,-0.187777777777778,51.4325
"454",8,-0.187222222222222,51.4325
"455",7,-0.186666666666667,51.4325
"456",7,-0.186111111111111,51.4325
"457",10,-0.185555555555556,51.4325
"458",11,-0.185,51.4325
"459",12,-0.184444444444445,51.4325
"460",13,-0.183888888888889,51.4325
"461",13,-0.183333333333333,51.4325
"462",12,-0.182777777777778,51.4325
"463",10,-0.182222222222222,51.4325
"464",11,-0.181666666666667,51.4325
"465",11,-0.181111111111111,51.4325
"466",15,-0.180555555555556,51.4325
"467",17,-0.18,51.4325
"468",16,-0.179444444444445,51.4325
"469",15,-0.178888888888889,51.4325
"470",11,-0.178333333333333,51.4325
"471",11,-0.177777777777778,51.4325
"472",14,-0.177222222222222,51.4325
"473",14,-0.176666666666667,51.4325
"474",15,-0.176111111111111,51.4325
"475",12,-0.175555555555556,51.4325
"476",11,-0.175,51.4325
"477",11,-0.174444444444445,51.4325
"478",12,-0.173888888888889,51.4325
"479",13,-0.173333333333333,51.4325
"480",12,-0.172777777777778,51.4325
"481",11,-0.172222222222222,51.4325
"482",13,-0.171666666666667,51.4325
"483",14,-0.171111111111111,51.4325
"484",14,-0.170555555555556,51.4325
"485",15,-0.17,51.4325
"486",15,-0.169444444444445,51.4325
"487",13,-0.168888888888889,51.4325
"488",14,-0.168333333333333,51.4325
"489",18,-0.167777777777778,51.4325
"490",20,-0.167222222222222,51.4325
"491",20,-0.166666666666667,51.4325
"492",20,-0.166111111111111,51.4325
"493",21,-0.165555555555556,51.4325
"494",23,-0.165,51.4325
"495",24,-0.164444444444445,51.4325
"496",25,-0.163888888888889,51.4325
"497",26,-0.163333333333333,51.4325
"498",28,-0.162777777777778,51.4325
"499",31,-0.162222222222222,51.4325
"500",33,-0.161666666666667,51.4325
"501",34,-0.161111111111111,51.4325
"502",36,-0.160555555555556,51.4325
"503",37,-0.16,51.4325
"504",36,-0.159444444444444,51.4325
"505",38,-0.158888888888889,51.4325
"506",37,-0.158333333333333,51.4325
"507",36,-0.157777777777778,51.4325
"508",35,-0.157222222222222,51.4325
"509",34,-0.156666666666667,51.4325
"510",32,-0.156111111111111,51.4325
"511",32,-0.155555555555556,51.4325
"512",32,-0.155,51.4325
"513",31,-0.154444444444444,51.4325
"514",31,-0.153888888888889,51.4325
"515",31,-0.153333333333333,51.4325
"516",31,-0.152777777777778,51.4325
"517",31,-0.152222222222222,51.4325
"518",30,-0.151666666666667,51.4325
"519",28,-0.151111111111111,51.4325
"520",24,-0.150555555555556,51.4325
"521",25,-0.15,51.4325
"522",25,-0.149444444444444,51.4325
"523",24,-0.148888888888889,51.4325
"524",26,-0.148333333333333,51.4325
"525",29,-0.147777777777778,51.4325
"526",32,-0.147222222222222,51.4325
